Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0701,07/19/2026,07/20/2026,BACKBLAZE INC,Professional Services,Sale,-1.30,
0701,07/19/2026,07/20/2026,GITHUB,Professional Services,Sale,-15.90,
0701,07/03/2026,07/05/2026,TWILIO SENDGRID,Office & Shipping,Sale,-34.95,
0701,07/03/2026,07/03/2026,AUTOMATIC PAYMENT - THANK,,Payment,147.60,
0701,07/01/2026,07/02/2026,GOOGLE *Workspace_neva,Bills & Utilities,Sale,-15.31,
0701,06/26/2026,06/26/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-1.54,
0701,06/25/2026,06/26/2026,Hetzner Online GmbH,Bills & Utilities,Sale,-51.44,
0701,06/19/2026,06/21/2026,GITHUB,Professional Services,Sale,-15.90,
0701,06/19/2026,06/21/2026,BACKBLAZE INC,Professional Services,Sale,-1.40,
0701,06/03/2026,06/04/2026,TWILIO SENDGRID,Office & Shipping,Sale,-34.95,
0701,06/03/2026,06/04/2026,NAME-CHEAP.COM* Q6GX0G,Professional Services,Sale,-41.32,
0701,06/03/2026,06/03/2026,AUTOMATIC PAYMENT - THANK,,Payment,126.73,
0701,05/26/2026,05/26/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-1.57,
0701,05/25/2026,05/26/2026,Hetzner Online GmbH,Bills & Utilities,Sale,-52.53,
0701,05/19/2026,05/20/2026,GITHUB,Professional Services,Sale,-15.90,
0701,05/19/2026,05/20/2026,BACKBLAZE INC,Professional Services,Sale,-1.33,
0701,05/05/2026,05/05/2026,TWILIO SENDGRID,Office & Shipping,Sale,-34.95,
0701,05/03/2026,05/03/2026,AUTOMATIC PAYMENT - THANK,,Payment,315.47,
0701,04/26/2026,04/26/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-1.22,
0701,04/25/2026,04/26/2026,Hetzner Online GmbH,Bills & Utilities,Sale,-40.69,
0701,04/23/2026,04/24/2026,NAME-CHEAP.COM* DHBVSH,Professional Services,Sale,-32.68,
0701,04/19/2026,04/20/2026,GITHUB,Professional Services,Sale,-15.90,
0701,04/19/2026,04/20/2026,BACKBLAZE INC,Professional Services,Sale,-1.29,
0701,04/06/2026,04/07/2026,TWILIO SENDGRID,Office & Shipping,Sale,-34.95,
0701,04/03/2026,04/03/2026,AUTOMATIC PAYMENT - THANK,,Payment,113.29,
0701,03/25/2026,03/26/2026,NAME-CHEAP.COM* MYVABI,Professional Services,Sale,-23.18,
0701,03/26/2026,03/26/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-1.21,
0701,03/25/2026,03/26/2026,Hetzner Online GmbH,Bills & Utilities,Sale,-40.36,
0701,03/19/2026,03/20/2026,GITHUB,Professional Services,Sale,-15.90,
0701,03/19/2026,03/20/2026,BACKBLAZE INC,Professional Services,Sale,-1.19,
0701,03/13/2026,03/13/2026,UPTIMEROBOT,Merchandise & Inventory,Sale,-180.00,
0701,03/12/2026,03/12/2026,NAME-CHEAP.COM* CH740K,Professional Services,Sale,-18.68,
0701,03/04/2026,03/04/2026,TWILIO SENDGRID,Office & Shipping,Sale,-34.95,
0701,03/03/2026,03/03/2026,AUTOMATIC PAYMENT - THANK,,Payment,173.14,
0701,02/26/2026,02/26/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-1.22,
0701,02/25/2026,02/26/2026,Hetzner Online GmbH,Bills & Utilities,Sale,-40.94,
0701,02/23/2026,02/23/2026,MIGADU.COM EMAIL SRVC.,Professional Services,Sale,-19.00,
0701,02/19/2026,02/20/2026,BACKBLAZE INC,Professional Services,Sale,-1.28,
0701,02/19/2026,02/20/2026,GITHUB,Professional Services,Sale,-15.90,
0701,02/10/2026,02/10/2026,Payment Thank You - Web,,Payment,40.00,
0701,02/04/2026,02/04/2026,TWILIO SENDGRID,Office & Shipping,Sale,-34.95,
0701,02/03/2026,02/03/2026,AUTOMATIC PAYMENT - THANK,,Payment,103.33,
0701,01/26/2026,01/26/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-1.23,
0701,01/25/2026,01/26/2026,Hetzner Online GmbH,Bills & Utilities,Sale,-41.07,
0701,01/23/2026,01/23/2026,NAME-CHEAP.COM* DQN9DY,Professional Services,Sale,-61.34,
0701,01/19/2026,01/20/2026,GITHUB,Professional Services,Sale,-15.90,
0701,01/19/2026,01/20/2026,BACKBLAZE INC,Professional Services,Sale,-1.31,
0701,01/14/2026,01/14/2026,NAME-CHEAP.COM* CSBRIF,Professional Services,Sale,-47.18,
0701,01/11/2026,01/12/2026,TWILIO SENDGRID,Office & Shipping,Sale,-10.16,
0701,01/05/2026,01/06/2026,TWILIO SENDGRID,Office & Shipping,Sale,-19.95,
0701,01/05/2026,01/05/2026,NAME-CHEAP.COM* 3PHT9C,Professional Services,Sale,-23.98,
0701,01/02/2026,01/02/2026,AUTOMATIC PAYMENT - THANK,,Payment,78.47,
