Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
07/06/2026,DIRECT DEBIT CHASE CREDIT CAUTOPAYBUS (Cash),"",No Description,Cash,"",0,"","","","-147.6",411.32,""
06/30/2026,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,1.54,"","","","-1.54",558.92,""
06/30/2026,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,"",0,"","","",1.54,558.92,""
06/04/2026,DIRECT DEBIT CHASE CREDIT CAUTOPAYBUS (Cash),"",No Description,Cash,"",0,"","","","-126.73",557.38,""
05/29/2026,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,1.26,"","","","-1.26",684.11,""
05/29/2026,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,"",0,"","","",1.26,684.11,""
05/26/2026,TRANSFERRED FROM VS Z34-231545-1 (Cash),"",No Description,Cash,"",0,"","","",319.05,682.85,""
05/05/2026,DIRECT DEBIT CHASE CREDIT CAUTOPAYBUS (Cash),"",No Description,Cash,"",0,"","","","-315.47",363.8,""
04/30/2026,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,1.88,"","","","-1.88",679.27,""
04/30/2026,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,"",0,"","","",1.88,679.27,""
04/06/2026,DIRECT DEBIT CHASE CREDIT CAUTOPAYBUS (Cash),"",No Description,Cash,"",0,"","","","-113.29",677.39,""
03/31/2026,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,2.25,"","","","-2.25",790.68,""
03/31/2026,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,"",0,"","","",2.25,790.68,""
03/04/2026,DIRECT DEBIT CHASE CREDIT CAUTOPAYBUS (Cash),"",No Description,Cash,"",0,"","","","-173.14",788.43,""
02/27/2026,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,1.57,"","","","-1.57",961.57,""
02/27/2026,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,"",0,"","","",1.57,961.57,""
02/11/2026,DIRECT DEBIT CHASE CREDIT CEPAY (Cash),"",No Description,Cash,"",0,"","","","-40",960,""
02/10/2026,TRANSFERRED FROM VS Z34-231545-1 (Cash),"",No Description,Cash,"",0,"","","",1000,1000,""
